index     keyPoint.x     keyPoint.y     keyPoint.z     cluster_number      peak_number         radius    
1         -356           -24.9          156            3                   2                   8         
2         -478           -13.5          180            4                   2                   8         
3         -529           -4.81          198            5                   5                   8         
4         -644           13.6           241            3                   3                   8         
5         -633           19.1           274            4                   3                   8         
6         -576           8.64           255            4                   2                   8         
7         -536           0.746          237            4                   2                   8         
8         -519           -5.28          200            5                   4                   8         
